,date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id
4701853,2021-06-11,17338827,5,23,3,99.7,24.9,59.911178,30.49333,0,2,193231.0,,78,
9534106,2021-11-02,6300000,5,9,3,59.0,8.0,54.9406307,43.3258145,0,0,607183.0,,52,
6456524,2021-08-03,3990000,12,24,2,70.1,11.4,55.0535965,82.8989893,0,2,630082.0,,54,
1046985,2021-02-15,7993708,2,13,2,54.1,-100.0,55.4729792,37.5154228,3,2,,280509.0,77,1103394.0
4617332,2021-06-08,2550000,4,5,2,49.7,0.0,59.415143,56.852155,2,0,618425.0,,59,
8607740,2021-10-05,6200000,4,25,1,41.6,10.7,59.8510639,30.2184752,0,0,198330.0,479930.0,78,2709476.0
3174861,2021-04-20,1550000,1,4,2,43.0,-100.0,53.5156747,87.2798473,4,0,652740.0,207183.0,42,594424.0
7367138,2021-08-29,5149000,8,9,1,30.3,8.0,59.97848,30.420836,0,0,195067.0,161615.0,78,1766815.0
6781746,2021-08-12,3806400,1,5,2,64.7,9.0,61.2606076,73.2524282,0,2,628433.0,392571.0,72,2453623.0
369180,2021-01-23,2450000,18,20,1,32.6,0.0,57.0972162,65.6228558,4,0,625053.0,586681.0,72,2637903.0
9615413,2021-11-04,1250000,3,5,1,35.0,8.3,58.226074,68.272644,0,0,626150.0,,72,1746736.0
5640757,2021-07-08,13500000,2,8,3,113.3,15.0,56.8262924,60.6151439,4,0,620026.0,328489.0,66,1017262.0
7506774,2021-09-02,3170000,2,4,2,43.0,-100.0,55.979267,92.84728,4,0,660042.0,,24,
2739765,2021-04-06,10800000,2,9,2,40.7,8.7,55.682549,37.6754479,5,0,115470.0,441835.0,77,1200459.0
8985590,2021-10-15,36000000,2,3,2,65.0,0.0,44.1764211,40.8336271,0,0,352586.0,233117.0,23,2517864.0
2916822,2021-04-11,3240000,8,16,2,40.8,0.0,57.1529744,65.5344099,0,2,625000.0,,72,900613.0
5568273,2021-07-06,1420000,3,3,1,33.1,0.0,56.1604756,92.6904274,2,0,663020.0,224005.0,24,2193266.0
10220699,2021-11-22,10053225,3,3,2,49.1,21.27,59.8513073,30.0216431,0,2,198515.0,300413.0,78,1369322.0
1995908,2021-03-16,3814650,11,24,2,51.9,10.4,47.245924,39.689961,0,2,344079.0,203005.0,61,1262818.0
8341265,2021-09-27,1250000,3,5,1,35.0,9.0,53.33613,55.936672,0,0,453265.0,,2,
7727357,2021-09-08,4400000,3,5,3,57.0,5.1,55.0703025,82.9440333,4,0,630075.0,295540.0,54,1398783.0
10263632,2021-11-23,4400000,5,5,2,65.4,9.0,55.5764757,42.0161668,0,0,602252.0,279599.0,33,1077055.0
10400629,2021-11-28,2800000,4,5,2,47.3,6.0,56.968729,40.999442,0,0,153048.0,,37,
4498695,2021-06-03,5150000,16,19,1,49.0,14.0,45.055257,38.968764,4,0,350020.0,286195.0,23,1763285.0
6982834,2021-08-18,3550000,2,5,3,57.0,-100.0,56.0128635,92.9705348,0,0,660037.0,,24,
7013662,2021-08-19,3468000,13,20,1,40.8,0.0,47.245329,39.701206,0,2,344038.0,,61,
7409383,2021-08-30,2900000,5,5,1,45.0,12.0,47.208251,39.65019,0,0,344058.0,,61,
8140855,2021-09-21,5566280,21,25,3,81.71,13.7,57.5894577,39.8402183,0,2,150023.0,209955.0,76,1171583.0
7462914,2021-09-01,2147210,9,24,-1,19.0,-100.0,57.1733773,65.4858947,0,2,625001.0,,72,
3646245,2021-05-06,1500000,1,5,1,35.0,-100.0,55.2759747,38.7330715,2,0,,258482.0,50,757765.0
7097594,2021-08-22,3590000,1,10,2,53.0,9.0,55.970383,92.94274,0,0,660052.0,,24,
12724,2021-01-02,2500000,4,9,1,32.0,6.0,59.6215621,30.3870374,2,0,188320.0,346437.0,47,1834008.0
3675930,2021-05-07,5100000,8,22,1,31.0,9.3,59.901265,30.515698,3,0,188692.0,201701.0,47,2014509.0
